Designator	Footprint	MidX	MidY	TB	Rotation	Comment
C139	0402	9500	5811.024	T	135.00	0.1uF
C122	0402	9500	6244.094	T	135.00	0.1uF
C54	0402	8574.803	6594.488	T	360.00	0.1uF
C74	0402	8641.732	6732.283	T	270.00	0.1uF
C61	0402	8645.669	5629.921	T	270.00	0.1uF
C56	0402	8653.543	6830.709	T	360.00	0.1uF
C84	0402	8688.976	5496.063	T	225.00	0.1uF
C93	0402	8807.087	5519.685	T	90.00	0.1uF
C97	0402	8826.772	5874.016	T	270.00	0.1uF
C111	0402	8826.772	6342.52	T	90.00	0.1uF
C64	0402	8826.772	6822.834	T	180.00	0.1uF
C88	0402	8889.764	5984.252	T	270.00	0.1uF
C67	0402	8889.764	6070.866	T	360.00	0.1uF
C55	0402	8905.512	6578.74	T	90.00	0.1uF
C87	0402	8929.134	5720.472	T	270.00	0.1uF
C100	0402	8929.134	6535.433	T	270.00	0.1uF
C105	0402	8944.882	5874.016	T	90.00	0.1uF
C57	0402	8944.882	6303.15	T	90.00	0.1uF
C123	0402	9003.937	6393.701	T	315.00	0.1uF
C86	0402	9019.685	6440.945	T	180.00	0.1uF
C136	0402	9027.559	5842.52	T	225.00	0.1uF
C110	0402	9039.37	6507.874	T	315.00	0.1uF
C128	0402	9043.307	6078.74	T	315.00	0.1uF
C103	0402	9062.992	6614.173	T	270.00	0.1uF
C133	0402	9066.929	5889.764	T	135.00	0.1uF
C120	0402	9082.677	6401.575	T	45.00	0.1uF
C62	0402	9086.614	5488.189	T	180.00	0.1uF
C131	0402	9086.614	5818.898	T	90.00	0.1uF
C83	0402	9086.614	6015.748	T	270.00	0.1uF
C98	0402	9086.614	6228.347	T	360.00	0.1uF
C73	0402	9106.299	6807.087	T	90.00	0.1uF
C108	0402	9141.732	6220.472	T	270.00	0.1uF
C135	0402	9145.669	6035.433	T	225.00	0.1uF
C137	0402	9149.606	5956.693	T	225.00	0.1uF
C119	0402	9149.606	6468.504	T	225.00	0.1uF
C75	0402	9165.354	6259.843	T	90.00	0.1uF
C99	0402	9165.354	6582.677	T	180.00	0.1uF
C134	0402	9200.787	6007.874	T	45.00	0.1uF
C102	0402	9200.787	6208.662	T	45.00	0.1uF
C89	0402	9204.724	5527.559	T	90.00	0.1uF
C112	0402	9204.724	5791.339	T	90.00	0.1uF
C107	0402	9204.724	6330.708	T	180.00	0.1uF
C95	0402	9204.724	6625.984	T	90.00	0.1uF
C63	0402	9240.157	6074.803	T	135.00	0.1uF
C80	0402	9244.095	6287.401	T	270.00	0.1uF
C76	0402	9244.095	6811.024	T	270.00	0.1uF
C143	0402	9248.031	5905.512	T	90.00	0.1uF
C82	0402	9263.78	5669.291	T	90.00	0.1uF
C65	0402	9291.338	5787.402	T	45.00	0.1uF
C69	0402	9299.212	5511.811	T	90.00	0.1uF
C71	0402	9336.474	6029.388	T	45.00	0.1uF
C127	0402	9338.583	6307.087	T	270.00	0.1uF
C104	0402	9342.52	6476.378	T	90.00	0.1uF
C121	0402	9346.457	6114.173	T	225.00	0.1uF
C92	0402	9350.394	6173.229	T	360.00	0.1uF
C79	0402	9362.205	6771.654	T	270.00	0.1uF
C114	0402	9366.142	5740.158	T	360.00	0.1uF
C142	0402	9385.827	6003.937	T	180.00	0.1uF
C132	0402	9393.701	5921.26	T	315.00	0.1uF
C124	0402	9397.638	6086.614	T	45.00	0.1uF
C140	0402	9405.512	5834.646	T	360.00	0.1uF
C116	0402	9421.26	6393.701	T	225.00	0.1uF
C118	0402	9425.197	6248.031	T	135.00	0.1uF
C117	0402	9425.197	6322.835	T	135.00	0.1uF
C115	0402	9472.441	6429.134	T	315.00	0.1uF
C106	0402	9472.441	6507.874	T	315.00	0.1uF
C113	0402	9484.252	5704.724	T	90.00	0.1uF
C141	0402	9492.126	5874.016	T	180.00	0.1uF
C85	0402	9507.874	5519.685	T	90.00	0.1uF
C78	0402	9507.874	6795.276	T	90.00	0.1uF
C138	0402	9539.37	5933.071	T	135.00	0.1uF
C49	0402	9547.244	6023.622	T	270.00	0.1uF
C101	0402	9555.118	6440.945	T	45.00	0.1uF
C91	0402	9586.614	6220.472	T	90.00	0.1uF
C68	0402	9586.614	6377.953	T	90.00	0.1uF
C70	0402	9610.236	5748.031	T	270.00	0.1uF
C58	0402	9629.921	6751.968	T	90.00	0.1uF
C72	0402	9637.795	5590.551	T	180.00	0.1uF
C126	0402	9641.732	5787.402	T	90.00	0.1uF
C90	0402	9665.354	6653.543	T	270.00	0.1uF
C109	0402	9688.976	6452.756	T	90.00	0.1uF
C53	0402	9704.724	6338.583	T	90.00	0.1uF
C125	0402	9720.473	5980.315	T	270.00	0.1uF
C66	0402	9744.094	5889.764	T	90.00	0.1uF
C77	0402	9763.779	5543.307	T	180.00	0.1uF
C94	0402	9783.465	6440.945	T	90.00	0.1uF
C52	0402	9787.402	5767.717	T	360.00	0.1uF
C50	0402	9862.205	5503.937	T	180.00	0.1uF
C59	0402	9897.638	5885.827	T	180.00	0.1uF
C81	0402	9901.575	6472.441	T	270.00	0.1uF
C60	0402	9913.386	6811.024	T	90.00	0.1uF
C51	0402	9917.323	5708.662	T	315.00	0.1uF
C96	0402	9925.197	6535.433	T	360.00	0.1uF
C146	0603	13500	9783.465	T	180.00	0.1uF
C144	0603	10354.331	8460.63	B	270.00	0.1uF
Cgen1	0603	10787.402	8236.22	B	90.00	0.1uF
CL1	0603	10929.134	8051.181	B	180.00	0.1uF
C145	0603	12913.386	9964.567	T	90.00	0.1uF
C150	0603	13503.937	9964.567	B	270.00	0.1uF
C148	0603	13507.874	10039.37	T	180.00	0.1uF
C149	0603	13582.717	9925.197	B	90.00	0.1uF
C147	0603	13720.472	9956.693	B	90.00	0.1uF
C130	0603	8137.795	3145.669	T	90.00	0.1uF
