X	Y	Tool	Rotation
25735	37722	1	0
25735	37329	1	0
25735	36935	1	0
25735	36541	1	0
25735	36148	1	0
25735	35754	1	0
25735	35360	1	0
25735	34967	1	0
25885	37919	1	0
25885	37526	1	0
25885	37132	1	0
25885	36738	1	0
25885	36344	1	0
25885	35951	1	0
25885	35557	1	0
25885	35163	1	0
26050	38234	1	0
26050	34802	1	0
26247	38084	1	0
26247	34652	1	0
26444	38234	1	0
26444	34802	1	0
26641	38084	1	0
26641	34652	1	0
26837	38234	1	0
26837	34802	1	0
27034	38084	1	0
27034	34652	1	0
27231	38234	1	0
27231	34802	1	0
27428	38084	1	0
27428	34652	1	0
27625	38234	1	0
27625	34802	1	0
27822	38084	1	0
27822	34652	1	0
28019	38234	1	0
28019	34802	1	0
28215	38084	1	0
28215	34652	1	0
28412	38234	1	0
28412	34802	1	0
28609	38084	1	0
28609	34652	1	0
28806	38234	1	0
28806	34802	1	0
29003	38084	1	0
29003	34652	1	0
29318	37919	1	0
29318	37526	1	0
29318	37132	1	0
29318	36738	1	0
29318	36344	1	0
29318	35951	1	0
29318	35557	1	0
29318	35163	1	0
29168	37722	1	0
29168	37329	1	0
29168	36935	1	0
29168	36541	1	0
29168	36148	1	0
29168	35754	1	0
29168	35360	1	0
29168	34967	1	0
26350	37650	2	0
27150	37650	2	0
27950	37650	2	0
28700	37650	2	0
26350	36850	2	0
27150	36850	2	0
27950	36850	2	0
28700	36850	2	0
26350	36050	2	0
27150	36050	2	0
27950	36050	2	0
28700	36050	2	0
26350	35250	2	0
27150	35250	2	0
27950	35250	2	0
28700	35250	2	0
