X	Y	Tool	Rotation
22026	25706	1	0
22459	25706	1	0
22892	25706	1	0
22242	25556	1	0
22675	25556	1	0
23108	25556	1	0
21900	25400	1	0
23404	25400	1	0
21750	25183	1	0
23254	25183	1	0
21900	24967	1	0
23404	24967	1	0
21750	24750	1	0
23254	24750	1	0
21900	24534	1	0
23404	24534	1	0
21750	24317	1	0
23254	24317	1	0
22026	24202	1	0
22459	24202	1	0
22892	24202	1	0
22242	24052	1	0
22675	24052	1	0
23108	24052	1	0
22026	22696	1	0
22459	22696	1	0
22892	22696	1	0
22242	22546	1	0
22675	22546	1	0
23108	22546	1	0
21900	22400	1	0
23404	22400	1	0
21750	22183	1	0
23254	22183	1	0
21900	21967	1	0
23404	21967	1	0
21750	21750	1	0
23254	21750	1	0
21900	21534	1	0
23404	21534	1	0
21750	21317	1	0
23254	21317	1	0
22026	21172	1	0
22459	21172	1	0
22892	21172	1	0
22242	21022	1	0
22675	21022	1	0
23108	21022	1	0
22350	22050	2	0
22350	21650	2	0
22800	22050	2	0
22800	21650	2	0
22350	25050	2	0
22350	24650	2	0
22800	25050	2	0
22800	24650	2	0
