Footprint 	Comment 	Designator	MidX 	MidY 	TB 	Rotation 
TantD	4.7uF 	C57 	2066.929 	3516.142 	T 	90.00 
0603	56pF 	C49 	2500	2715.905 	B 	270.00 
0603	56pF 	C28 	2500	4389.134 	B 	270.00 
0603	56pF 	C50 	2559.055 	2715.905 	B 	90.00 
0603	56pF 	C27 	2559.055 	4389.134 	B 	90.00 
0603	56pF 	C51 	2618.11 	2715.905 	B 	270.00 
0603	56pF 	C26 	2618.11 	4389.134 	B 	270.00 
0603	56pF 	C52 	2677.165 	2715.905 	B 	90.00 
0603	56pF 	C25 	2677.165 	4389.134 	B 	90.00 
0603	56pF 	C53 	2755.905 	2715.905 	B 	270.00 
0603	56pF 	C24 	2755.905 	4389.134 	B 	270.00 
0603	56pF 	C54 	2814.961 	2715.905 	B 	90.00 
0603	56pF 	C23 	2814.961 	4389.134 	B 	90.00 
0603	56pF 	C55 	2874.016 	2715.905 	B 	270.00 
0603	56pF 	C22 	2874.016 	4389.134 	B 	270.00 
0603	56pF 	C56 	2933.071 	2715.905 	B 	90.00 
0603	56pF 	C21 	2933.071 	4389.134 	B 	90.00 
0603	0.1uF 	C36 	2066.299 	2204.724 	B 	180.00 
0603	0.1uF 	C34 	2066.299 	2362.205 	B 	180.00 
0603	0.1uF 	C32 	2066.299 	2519.685 	B 	180.00 
0603	0.1uF 	C30 	2066.299 	2677.165 	B 	180.00 
0603	0.1uF 	C8 	2066.299 	4507.874 	B 	180.00 
0603	0.1uF 	C6 	2066.299 	4665.354 	B 	180.00 
0603	0.1uF 	C4 	2066.299 	4822.835 	B 	180.00 
0603	0.1uF 	C2 	2066.299 	4980.315 	B 	180.00 
0603	0.1uF 	C58 	2200.787 	3602.992 	T 	90.00 
0603	0.1uF 	C66 	2204.724 	2205.354 	B 	270.00 
0603	0.1uF 	C65 	2204.724 	2520.315 	B 	270.00 
0603	0.1uF 	C60 	2204.724 	3449.449 	T 	90.00 
0603	0.1uF 	C63 	2204.724 	4508.504 	B 	270.00 
0603	0.1uF 	C61 	2204.724 	4823.465 	B 	270.00 
0603	0.1uF 	C59 	2283.465 	3524.252 	T 	90.00 
0603	0.1uF 	C64 	2381.89 	3662.047 	T 	270.00 
0603	0.1uF 	C70 	2578.11 	3503.937 	B 	180.00 
0603	0.1uF 	C68 	2588.11 	3755.984 	B 	90.00 
0603	0.1uF 	C71 	2618.74 	3216.535 	B 	360.00 
0603	0.1uF 	C67 	2748.11 	3755.984 	B 	90.00 
0603	0.1uF 	C69 	2823.11 	3350.984 	B 	270.00 
0603	0.1uF 	C72 	2973.11 	3550.984 	B 	180.00 
0603	1uF 	C44 	1752.598 	2125.984 	T 	360.00 
0603	1uF 	C43 	1752.598 	2204.724 	T 	360.00 
0603	1uF 	C42 	1752.598 	2283.465 	T 	360.00 
0603	1uF 	C41 	1752.598 	2362.205 	T 	360.00 
0603	1uF 	C40 	1752.598 	2440.945 	T 	360.00 
0603	1uF 	C39 	1752.598 	2519.685 	T 	360.00 
0603	1uF 	C38 	1752.598 	2598.425 	T 	360.00 
0603	1uF 	C37 	1752.598 	2677.165 	T 	360.00 
0603	1uF 	C16 	1752.598 	4429.134 	T 	360.00 
