Footprint	Comment	Designator	MidX	MidY	TB	Rotation	Feeder	Tool Position
0603	0.1uF	Cgen1	10610.866	8425.197	B	180.00	58,03	2
0603	0.1uF	C84	13523.622	9979.685	B	270.00	58,03	2
0603	0.1uF	C83	13602.401	9922.44	B	90.00	58,03	2
0603	0.1uF	C81	13720.472	9980.945	B	90.00	58,03	2
0603	0.1uF	C78	9507.874	8192.283	B	270.00	58,03	2
0603	0.47uF	CL1	10964.568	8138.425	B	90.00	58,04	2
0603	51	RL5	10984.251	8382.52	B	90.00	42,03	2
0603	51	R46	13661.417	9839.213	B	90.00	42,03	2
0603	51	R45	13661.417	9961.26	B	90.00	42,03	2
0603	51	RL3	11436.378	8181.102	B	180.00	42,03	2
0603	51	RL2	11436.378	8232.284	B	180.00	42,03	2
0603	180	R49	13683.74	9665.354	B	360.00	42,05	2
0603	180	R50	13689.606	10157.48	B	360.00	42,05	2
0603	180	R48	14625.984	9389.134	B	270.00	42,05	2
0603	200	R44	12677.165	10177.795	B	90.00	42,06	2
0603	1k	RL4	11436.378	8129.922	B	180.00	42,11	2
0603	1k	RL1	11436.378	8283.464	B	180.00	42,11	2
0603	10k	R53	13760.472	9566.929	B	180.00	50,07	2
0603	10k	R51	13780.157	10255.906	B	180.00	50,07	2
0603	10k	R52	14692.913	9390.394	B	90.00	50,07	2
0603	10k	R43	9172.598	8200.787	B	180.00	50,07	2
0603	22.1k	R47	13168.661	10216.535	B	180.00	957	2
DGG064	SN65LVDS387	U9	12800.197	4438.976	B	90.00	33,05	4
DGG064	SN65LVDS387	U8	12800.197	5580.709	B	90.00	33,05	4
DGG064	SN65LVDS387	U7	12800.197	6722.441	B	90.00	33,05	4
DGG064	SN65LVDS387	U6	12800.197	7864.173	B	90.00	33,05	4
FBGA780	EP4CE40F29C7	U1	9842.52	6102.362	B	180.00	980	1
SG-636	40MHz	UG1	10670.867	8236.774	B	270.00	966	3
SOIC14-200	DS36C200	UL1	11172.992	8181.496	B	90.00	33,01	4
SOIC16-150	MAX4651PP	UG2	10258.071	8235.921	B	90.00	33,02	4
SOIC8-150	EPCS16SI8N	U3	9760.039	8232.284	B	270.00	33,03	4
TQFP-64	LXT972A	U5	12982.283	9913.386	B	360.00	969	4
TSSOP-16	IDT_854105I	Uclk	8288.583	6111.22	B	180.00	33,04	4
								
HR961160C	HR961160C	JEth1	14368.504	9905.906	B	90.00		
IDC10	ActiveSer	U2	9361.024	8251.18	B	90.00		
IDC10	JTAG	U4	10351.18	5009.843	B	180.00		
LED2P5_H	LED	VDLED4	14763.779	9400.394	B	90.00		
PW20-M-R	PW-20-M-R	UsupIn1	11240.159	2199.998	B	270.00		
SEAM-40-03.5-S-10-2-A-K-TR	SEAM-40-03.5-S-10-2-A-K-TR	FCT_con1	15188.386	6111.614	B	90.00		
								
TantD	100uF	Csup3	10448.425	1858.269	T	180.00		
TantD	100uF	Csup1	10448.425	2271.655	T	180.00		
TantD	100uF	C2	1279.528	2098.82	T	90.00		
TantD	100uF	C26	1614.173	10149.999	T	90.00		
TantD	100uF	C5	2079.528	2098.821	T	90.00		
TantD	100uF	C29	2414.172	10149.999	T	90.00		
TantD	100uF	C8	2879.528	2098.82	T	90.00		
TantD	100uF	C32	3214.174	10149.998	T	90.00		
TantD	100uF	C11	3679.528	2098.821	T	90.00		
TantD	100uF	C35	4014.174	10149.999	T	90.00		
TantD	100uF	C14	4479.528	2098.82	T	90.00		
TantD	100uF	C38	4814.173	10149.998	T	90.00		
TantD	100uF	C17	5279.528	2098.82	T	90.00		
TantD	100uF	C41	5614.174	10149.999	T	90.00		
