X	Y	tool	rotation
83295	51783	1	0
83295	51283	1	0
83295	50783	1	0
83295	50283	1	0
83295	49783	1	0
83295	49283	1	0
83295	48783	1	0
83295	48283	1	0
83295	47783	1	0
83295	47283	1	0
83295	46783	1	0
83295	46283	1	0
83295	45783	1	0
83295	45283	1	0
83295	44783	1	0
83295	44283	1	0
83295	43783	1	0
83295	43283	1	0
83295	42783	1	0
83295	42283	1	0
83295	41783	1	0
83295	41283	1	0
83295	40783	1	0
83295	40283	1	0
83295	39783	1	0
83295	39283	1	0
83295	38783	1	0
83295	38283	1	0
83295	37783	1	0
83295	37283	1	0
83295	36783	1	0
83295	36283	1	0
83295	35783	1	0
83295	35283	1	0
83295	34783	1	0
83295	34283	1	0
83295	33783	1	0
83295	33283	1	0
83295	32783	1	0
83295	32283	1	0
83795	51783	1	0
83795	51283	1	0
83795	50783	1	0
83795	50283	1	0
83795	49783	1	0
83795	49283	1	0
83795	48783	1	0
83795	48283	1	0
83795	47783	1	0
83795	47283	1	0
83795	46783	1	0
83795	46283	1	0
83795	45783	1	0
83795	45283	1	0
83795	44783	1	0
83795	44283	1	0
83795	43783	1	0
83795	43283	1	0
83795	42783	1	0
83795	42283	1	0
83795	41783	1	0
83795	41283	1	0
83795	40783	1	0
83795	40283	1	0
83795	39783	1	0
83795	39283	1	0
83795	38783	1	0
83795	38283	1	0
83795	37783	1	0
83795	37283	1	0
83795	36783	1	0
83795	36283	1	0
83795	35783	1	0
83795	35283	1	0
83795	34783	1	0
83795	34283	1	0
83795	33783	1	0
83795	33283	1	0
83795	32783	1	0
83795	32283	1	0
84295	51783	1	0
84295	51283	1	0
84295	50783	1	0
84295	50283	1	0
84295	49783	1	0
84295	49283	1	0
84295	48783	1	0
84295	48283	1	0
84295	47783	1	0
84295	47283	1	0
84295	46783	1	0
84295	46283	1	0
84295	45783	1	0
84295	45283	1	0
84295	44783	1	0
84295	44283	1	0
84295	43783	1	0
84295	43283	1	0
84295	42783	1	0
84295	42283	1	0
84295	41783	1	0
84295	41283	1	0
84295	40783	1	0
84295	40283	1	0
84295	39783	1	0
84295	39283	1	0
84295	38783	1	0
84295	38283	1	0
84295	37783	1	0
84295	37283	1	0
84295	36783	1	0
84295	36283	1	0
84295	35783	1	0
84295	35283	1	0
84295	34783	1	0
84295	34283	1	0
84295	33783	1	0
84295	33283	1	0
84295	32783	1	0
84295	32283	1	0
84795	51783	1	0
84795	51283	1	0
84795	50783	1	0
84795	50283	1	0
84795	49783	1	0
84795	49283	1	0
84795	48783	1	0
84795	48283	1	0
84795	47783	1	0
84795	47283	1	0
84795	46783	1	0
84795	46283	1	0
84795	45783	1	0
84795	45283	1	0
84795	44783	1	0
84795	44283	1	0
84795	43783	1	0
84795	43283	1	0
84795	42783	1	0
84795	42283	1	0
84795	41783	1	0
84795	41283	1	0
84795	40783	1	0
84795	40283	1	0
84795	39783	1	0
84795	39283	1	0
84795	38783	1	0
84795	38283	1	0
84795	37783	1	0
84795	37283	1	0
84795	36783	1	0
84795	36283	1	0
84795	35783	1	0
84795	35283	1	0
84795	34783	1	0
84795	34283	1	0
84795	33783	1	0
84795	33283	1	0
84795	32783	1	0
84795	32283	1	0
85295	51783	1	0
85295	51283	1	0
85295	50783	1	0
85295	50283	1	0
85295	49783	1	0
85295	49283	1	0
85295	48783	1	0
85295	48283	1	0
85295	47783	1	0
85295	47283	1	0
85295	46783	1	0
85295	46283	1	0
85295	45783	1	0
85295	45283	1	0
85295	44783	1	0
85295	44283	1	0
85295	43783	1	0
85295	43283	1	0
85295	42783	1	0
85295	42283	1	0
85295	41783	1	0
85295	41283	1	0
85295	40783	1	0
85295	40283	1	0
85295	39783	1	0
85295	39283	1	0
85295	38783	1	0
85295	38283	1	0
85295	37783	1	0
85295	37283	1	0
85295	36783	1	0
85295	36283	1	0
85295	35783	1	0
85295	35283	1	0
85295	34783	1	0
85295	34283	1	0
85295	33783	1	0
85295	33283	1	0
85295	32783	1	0
85295	32283	1	0
85795	51783	1	0
85795	51283	1	0
85795	50783	1	0
85795	50283	1	0
85795	49783	1	0
85795	49283	1	0
85795	48783	1	0
85795	48283	1	0
85795	47783	1	0
85795	47283	1	0
85795	46783	1	0
85795	46283	1	0
85795	45783	1	0
85795	45283	1	0
85795	44783	1	0
85795	44283	1	0
85795	43783	1	0
85795	43283	1	0
85795	42783	1	0
85795	42283	1	0
85795	41783	1	0
85795	41283	1	0
85795	40783	1	0
85795	40283	1	0
85795	39783	1	0
85795	39283	1	0
85795	38783	1	0
85795	38283	1	0
85795	37783	1	0
85795	37283	1	0
85795	36783	1	0
85795	36283	1	0
85795	35783	1	0
85795	35283	1	0
85795	34783	1	0
85795	34283	1	0
85795	33783	1	0
85795	33283	1	0
85795	32783	1	0
85795	32283	1	0
86295	51783	1	0
86295	51283	1	0
86295	50783	1	0
86295	50283	1	0
86295	49783	1	0
86295	49283	1	0
86295	48783	1	0
86295	48283	1	0
86295	47783	1	0
86295	47283	1	0
86295	46783	1	0
86295	46283	1	0
86295	45783	1	0
86295	45283	1	0
86295	44783	1	0
86295	44283	1	0
86295	43783	1	0
86295	43283	1	0
86295	42783	1	0
86295	42283	1	0
86295	41783	1	0
86295	41283	1	0
86295	40783	1	0
86295	40283	1	0
86295	39783	1	0
86295	39283	1	0
86295	38783	1	0
86295	38283	1	0
86295	37783	1	0
86295	37283	1	0
86295	36783	1	0
86295	36283	1	0
86295	35783	1	0
86295	35283	1	0
86295	34783	1	0
86295	34283	1	0
86295	33783	1	0
86295	33283	1	0
86295	32783	1	0
86295	32283	1	0
86795	51783	1	0
86795	51283	1	0
86795	50783	1	0
86795	50283	1	0
86795	49783	1	0
86795	49283	1	0
86795	48783	1	0
86795	48283	1	0
86795	47783	1	0
86795	47283	1	0
86795	46783	1	0
86795	46283	1	0
86795	45783	1	0
86795	45283	1	0
86795	44783	1	0
86795	44283	1	0
86795	43783	1	0
86795	43283	1	0
86795	42783	1	0
86795	42283	1	0
86795	41783	1	0
86795	41283	1	0
86795	40783	1	0
86795	40283	1	0
86795	39783	1	0
86795	39283	1	0
86795	38783	1	0
86795	38283	1	0
86795	37783	1	0
86795	37283	1	0
86795	36783	1	0
86795	36283	1	0
86795	35783	1	0
86795	35283	1	0
86795	34783	1	0
86795	34283	1	0
86795	33783	1	0
86795	33283	1	0
86795	32783	1	0
86795	32283	1	0
87295	51783	1	0
87295	51283	1	0
87295	50783	1	0
87295	50283	1	0
87295	49783	1	0
87295	49283	1	0
87295	48783	1	0
87295	48283	1	0
87295	47783	1	0
87295	47283	1	0
87295	46783	1	0
87295	46283	1	0
87295	45783	1	0
87295	45283	1	0
87295	44783	1	0
87295	44283	1	0
87295	43783	1	0
87295	43283	1	0
87295	42783	1	0
87295	42283	1	0
87295	41783	1	0
87295	41283	1	0
87295	40783	1	0
87295	40283	1	0
87295	39783	1	0
87295	39283	1	0
87295	38783	1	0
87295	38283	1	0
87295	37783	1	0
87295	37283	1	0
87295	36783	1	0
87295	36283	1	0
87295	35783	1	0
87295	35283	1	0
87295	34783	1	0
87295	34283	1	0
87295	33783	1	0
87295	33283	1	0
87295	32783	1	0
