X	Y	Tool	Rotation
58858	45079	1	0
59252	45079	1	0
59646	45079	1	0
60039	45079	1	0
60433	45079	1	0
60827	45079	1	0
61220	45079	1	0
61614	45079	1	0
62008	45079	1	0
62402	45079	1	0
62795	45079	1	0
63189	45079	1	0
63583	45079	1	0
63976	45079	1	0
64370	45079	1	0
64764	45079	1	0
65157	45079	1	0
65551	45079	1	0
65945	45079	1	0
66339	45079	1	0
66732	45079	1	0
67126	45079	1	0
58858	44685	1	0
59252	44685	1	0
59646	44685	1	0
60039	44685	1	0
60433	44685	1	0
60827	44685	1	0
61220	44685	1	0
61614	44685	1	0
62008	44685	1	0
62402	44685	1	0
62795	44685	1	0
63189	44685	1	0
63583	44685	1	0
63976	44685	1	0
64370	44685	1	0
64764	44685	1	0
65157	44685	1	0
65551	44685	1	0
65945	44685	1	0
66339	44685	1	0
66732	44685	1	0
67126	44685	1	0
58858	44291	1	0
59252	44291	1	0
59646	44291	1	0
60039	44291	1	0
60433	44291	1	0
60827	44291	1	0
61220	44291	1	0
61614	44291	1	0
62008	44291	1	0
62402	44291	1	0
62795	44291	1	0
63189	44291	1	0
63583	44291	1	0
63976	44291	1	0
64370	44291	1	0
64764	44291	1	0
65157	44291	1	0
65551	44291	1	0
65945	44291	1	0
66339	44291	1	0
66732	44291	1	0
67126	44291	1	0
58858	43898	1	0
59252	43898	1	0
59646	43898	1	0
60039	43898	1	0
60433	43898	1	0
60827	43898	1	0
61220	43898	1	0
61614	43898	1	0
62008	43898	1	0
62402	43898	1	0
62795	43898	1	0
63189	43898	1	0
63583	43898	1	0
63976	43898	1	0
64370	43898	1	0
64764	43898	1	0
65157	43898	1	0
65551	43898	1	0
65945	43898	1	0
66339	43898	1	0
66732	43898	1	0
67126	43898	1	0
58858	43504	1	0
59252	43504	1	0
59646	43504	1	0
60039	43504	1	0
60433	43504	1	0
60827	43504	1	0
61220	43504	1	0
61614	43504	1	0
62008	43504	1	0
62402	43504	1	0
62795	43504	1	0
63189	43504	1	0
63583	43504	1	0
63976	43504	1	0
64370	43504	1	0
64764	43504	1	0
65157	43504	1	0
65551	43504	1	0
65945	43504	1	0
66339	43504	1	0
66732	43504	1	0
67126	43504	1	0
58858	43110	1	0
59252	43110	1	0
59646	43110	1	0
60039	43110	1	0
60433	43110	1	0
60827	43110	1	0
61220	43110	1	0
61614	43110	1	0
62008	43110	1	0
62402	43110	1	0
62795	43110	1	0
63189	43110	1	0
63583	43110	1	0
63976	43110	1	0
64370	43110	1	0
64764	43110	1	0
65157	43110	1	0
65551	43110	1	0
65945	43110	1	0
66339	43110	1	0
66732	43110	1	0
67126	43110	1	0
58858	42717	1	0
59252	42717	1	0
59646	42717	1	0
60039	42717	1	0
60433	42717	1	0
60827	42717	1	0
61220	42717	1	0
61614	42717	1	0
62008	42717	1	0
62402	42717	1	0
62795	42717	1	0
63189	42717	1	0
63583	42717	1	0
63976	42717	1	0
64370	42717	1	0
64764	42717	1	0
65157	42717	1	0
65551	42717	1	0
65945	42717	1	0
66339	42717	1	0
66732	42717	1	0
67126	42717	1	0
58858	42323	1	0
59252	42323	1	0
59646	42323	1	0
60039	42323	1	0
60433	42323	1	0
60827	42323	1	0
61220	42323	1	0
61614	42323	1	0
62008	42323	1	0
62402	42323	1	0
62795	42323	1	0
63189	42323	1	0
63583	42323	1	0
63976	42323	1	0
64370	42323	1	0
64764	42323	1	0
65157	42323	1	0
65551	42323	1	0
65945	42323	1	0
66339	42323	1	0
66732	42323	1	0
67126	42323	1	0
58858	41929	1	0
59252	41929	1	0
59646	41929	1	0
60039	41929	1	0
60433	41929	1	0
60827	41929	1	0
61220	41929	1	0
61614	41929	1	0
62008	41929	1	0
62402	41929	1	0
62795	41929	1	0
63189	41929	1	0
63583	41929	1	0
63976	41929	1	0
64370	41929	1	0
64764	41929	1	0
65157	41929	1	0
65551	41929	1	0
65945	41929	1	0
66339	41929	1	0
66732	41929	1	0
67126	41929	1	0
58858	41535	1	0
59252	41535	1	0
59646	41535	1	0
60039	41535	1	0
60433	41535	1	0
60827	41535	1	0
61220	41535	1	0
61614	41535	1	0
62008	41535	1	0
62402	41535	1	0
62795	41535	1	0
63189	41535	1	0
63583	41535	1	0
63976	41535	1	0
64370	41535	1	0
64764	41535	1	0
65157	41535	1	0
65551	41535	1	0
65945	41535	1	0
66339	41535	1	0
66732	41535	1	0
67126	41535	1	0
58858	41142	1	0
59252	41142	1	0
59646	41142	1	0
60039	41142	1	0
60433	41142	1	0
60827	41142	1	0
61220	41142	1	0
61614	41142	1	0
62008	41142	1	0
62402	41142	1	0
62795	41142	1	0
63189	41142	1	0
63583	41142	1	0
63976	41142	1	0
64370	41142	1	0
64764	41142	1	0
65157	41142	1	0
65551	41142	1	0
65945	41142	1	0
66339	41142	1	0
66732	41142	1	0
67126	41142	1	0
58858	40748	1	0
59252	40748	1	0
59646	40748	1	0
60039	40748	1	0
60433	40748	1	0
60827	40748	1	0
61220	40748	1	0
61614	40748	1	0
62008	40748	1	0
62402	40748	1	0
62795	40748	1	0
63189	40748	1	0
63583	40748	1	0
63976	40748	1	0
64370	40748	1	0
64764	40748	1	0
65157	40748	1	0
65551	40748	1	0
65945	40748	1	0
66339	40748	1	0
66732	40748	1	0
67126	40748	1	0
58858	40354	1	0
59252	40354	1	0
59646	40354	1	0
60039	40354	1	0
60433	40354	1	0
60827	40354	1	0
61220	40354	1	0
61614	40354	1	0
62008	40354	1	0
62402	40354	1	0
62795	40354	1	0
63189	40354	1	0
63583	40354	1	0
63976	40354	1	0
64370	40354	1	0
64764	40354	1	0
65157	40354	1	0
65551	40354	1	0
65945	40354	1	0
66339	40354	1	0
66732	40354	1	0
67126	40354	1	0
58858	39961	1	0
59252	39961	1	0
59646	39961	1	0
60039	39961	1	0
60433	39961	1	0
60827	39961	1	0
61220	39961	1	0
61614	39961	1	0
62008	39961	1	0
62402	39961	1	0
62795	39961	1	0
63189	39961	1	0
63583	39961	1	0
63976	39961	1	0
64370	39961	1	0
64764	39961	1	0
65157	39961	1	0
65551	39961	1	0
65945	39961	1	0
66339	39961	1	0
66732	39961	1	0
67126	39961	1	0
58858	39567	1	0
59252	39567	1	0
59646	39567	1	0
60039	39567	1	0
60433	39567	1	0
60827	39567	1	0
61220	39567	1	0
61614	39567	1	0
62008	39567	1	0
62402	39567	1	0
62795	39567	1	0
63189	39567	1	0
63583	39567	1	0
63976	39567	1	0
64370	39567	1	0
64764	39567	1	0
65157	39567	1	0
65551	39567	1	0
65945	39567	1	0
66339	39567	1	0
66732	39567	1	0
67126	39567	1	0
58858	39173	1	0
59252	39173	1	0
59646	39173	1	0
60039	39173	1	0
60433	39173	1	0
60827	39173	1	0
61220	39173	1	0
61614	39173	1	0
62008	39173	1	0
62402	39173	1	0
62795	39173	1	0
63189	39173	1	0
63583	39173	1	0
63976	39173	1	0
64370	39173	1	0
64764	39173	1	0
65157	39173	1	0
65551	39173	1	0
65945	39173	1	0
66339	39173	1	0
66732	39173	1	0
67126	39173	1	0
58858	38780	1	0
59252	38780	1	0
59646	38780	1	0
60039	38780	1	0
60433	38780	1	0
60827	38780	1	0
61220	38780	1	0
61614	38780	1	0
62008	38780	1	0
62402	38780	1	0
62795	38780	1	0
63189	38780	1	0
63583	38780	1	0
63976	38780	1	0
64370	38780	1	0
64764	38780	1	0
65157	38780	1	0
65551	38780	1	0
65945	38780	1	0
66339	38780	1	0
66732	38780	1	0
67126	38780	1	0
58858	38386	1	0
59252	38386	1	0
59646	38386	1	0
60039	38386	1	0
60433	38386	1	0
